bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	proteinID
586	YAR064W	chrI	+	220197	220497	220197	220497	1	220197,	220497,	P39563
586	YAR066W	chrI	+	221048	221660	221048	221660	1	221048,	221660,	P38897
586	YAR068W	chrI	+	222405	222891	222405	222891	1	222405,	222891,	P39564
586	YAR069C	chrI	-	224010	224304	224010	224304	1	224010,	224304,	n/a
586	YAR070C	chrI	-	224562	224862	224562	224862	1	224562,	224862,	n/a
586	YAR071W	chrI	+	225459	226863	225459	226863	1	225459,	226863,	P35842
586	YAR073W	chrI	+	227741	228953	227741	228953	1	227741,	228953,	n/a
586	YAR075W	chrI	+	228843	229317	228843	229317	1	228843,	229317,	n/a
585	Q0010	chrM	+	3951	4338	3951	4338	1	3951,	4338,	n/a
585	Q0017	chrM	+	4253	4415	4253	4415	1	4253,	4415,	n/a
585	Q0032	chrM	+	11666	11957	11666	11957	1	11666,	11957,	n/a
585	Q0045	chrM	+	13817	26701	13817	26701	8	13817,16434,18953,20507,21994,23611,25317,26228,	13986,16470,18991,20984,22246,23746,25342,26701,	P00401
585	Q0070	chrM	+	13817	23167	13817	23167	5	13817,16434,18953,20507,21994,	13986,16470,18991,20984,23167,	Q9ZZX1
585	Q0065	chrM	+	13817	21935	13817	21935	4	13817,16434,18953,20507,	13986,16470,18991,21935,	P03878
585	Q0060	chrM	+	13817	19996	13817	19996	3	13817,16434,18953,	13986,16470,19996,	P03877
585	Q0055	chrM	+	13817	18830	13817	18830	2	13817,16434,	13986,18830,	P03876
585	Q0050	chrM	+	13817	16322	13817	16322	1	13817,	16322,	P03875
585	Q0075	chrM	+	24155	25255	24155	25255	2	24155,24905,	24870,25255,	Q9ZZX0
585	Q0080	chrM	+	27665	27812	27665	27812	1	27665,	27812,	P00856
585	Q0085	chrM	+	28486	29266	28486	29266	1	28486,	29266,	P00854
585	Q0092	chrM	+	30873	31014	30873	31014	1	30873,	31014,	n/a
585	Q0105	chrM	+	36539	43647	36539	43647	6	36539,37722,39140,40840,42507,43296,	36954,37736,39217,41090,42558,43647,	P00163
585	Q0120	chrM	+	36539	42251	36539	42251	4	36539,37722,39140,40840,	36954,37736,39217,42251,	P03879
585	Q0115	chrM	+	36539	40265	36539	40265	3	36539,37722,39140,	36954,37736,40265,	Q9ZZW7
585	Q0110	chrM	+	36539	38579	36539	38579	2	36539,37722,	36954,38579,	P03873
585	Q0130	chrM	+	46722	46953	46722	46953	1	46722,	46953,	P61829
585	Q0140	chrM	+	48900	50097	48900	50097	1	48900,	50097,	P02381
585	Q0142	chrM	+	51051	51228	51051	51228	1	51051,	51228,	n/a
585	Q0143	chrM	+	51276	51429	51276	51429	1	51276,	51429,	n/a
585	Q0144	chrM	+	54108	54438	54108	54438	1	54108,	54438,	n/a
585	Q0160	chrM	+	61021	61729	61021	61729	1	61021,	61729,	P03882
585	Q0182	chrM	+	65769	66174	65769	66174	1	65769,	66174,	n/a
585	Q0250	chrM	+	73757	74513	73757	74513	1	73757,	74513,	P00410
585	Q0255	chrM	+	74494	75984	74494	75984	3	74494,75662,75903,	75622,75872,75984,	P03881
585	Q0275	chrM	+	79212	80022	79212	80022	1	79212,	80022,	P00420
585	Q0297	chrM	+	85553	85709	85553	85709	1	85553,	85709,	n/a
73	YER054C	chrV	-	262051	263698	262051	263698	1	262051,	263698,	P40036
73	YER114C	chrV	-	390589	393712	390589	393712	1	390589,	393712,	P39969
73	YER169W	chrV	+	523368	525759	523368	525759	1	523368,	525759,	P39956
585	YEL077C	chrV	-	263	4097	263	4097	1	263,	4097,	Q3E7X8
585	YEL077W-A	chrV	+	629	1112	629	1112	1	629,	1112,	n/a
585	YEL076C-A	chrV	-	4184	5114	4184	5114	2	4184,4601,	4322,5114,	P89887
585	YEL076C	chrV	-	4463	5114	4463	5114	1	4463,	5114,	P39971
585	YEL075W-A	chrV	+	4869	5481	4869	5481	1	4869,	5481,	n/a
585	YEL075C	chrV	-	5344	5713	5344	5713	1	5344,	5713,	P39972
585	YEL074W	chrV	+	6125	6464	6125	6464	1	6125,	6464,	n/a
585	YEL073C	chrV	-	7229	7553	7229	7553	1	7229,	7553,	P39974
585	YEL072W	chrV	+	13719	14415	13719	14415	1	13719,	14415,	P39975
585	YEL071W	chrV	+	16354	17845	16354	17845	1	16354,	17845,	P39976
585	YEL070W	chrV	+	19588	21097	19588	21097	1	19588,	21097,	P39941
585	YEL069C	chrV	-	21536	23231	21536	23231	1	21536,	23231,	P39924
585	YEL068C	chrV	-	25645	25978	25645	25978	1	25645,	25978,	n/a
585	YEL067C	chrV	-	26188	26776	26188	26776	1	26188,	26776,	P39978
585	YEL066W	chrV	+	26666	27206	26666	27206	1	26666,	27206,	P39979
585	YEL065W	chrV	+	27656	29543	27656	29543	1	27656,	29543,	P39980
585	YEL064C	chrV	-	29796	31239	29796	31239	1	29796,	31239,	P39981
585	YEL063C	chrV	-	31693	33466	31693	33466	1	31693,	33466,	P04817
585	YEL062W	chrV	+	34406	36254	34406	36254	1	34406,	36254,	P39923
585	YEL061C	chrV	-	36534	39537	36534	39537	1	36534,	39537,	P27895
585	YEL060C	chrV	-	40045	41953	40045	41953	1	40045,	41953,	P09232
585	YEL059C-A	chrV	-	42399	42624	42399	42624	1	42399,	42624,	Q05676
585	YEL059W	chrV	+	42651	42960	42651	42960	1	42651,	42960,	n/a
585	YEL058W	chrV	+	43251	44925	43251	44925	1	43251,	44925,	P38628
585	YEL057C	chrV	-	45019	45721	45019	45721	1	45019,	45721,	P39983
585	YEL056W	chrV	+	47167	48373	47167	48373	1	47167,	48373,	P39984
585	YEL055C	chrV	-	48470	51539	48470	51539	1	48470,	51539,	P39985
585	YEL054C	chrV	-	52720	53218	52720	53218	1	52720,	53218,	P17079
585	YEL053W-A	chrV	+	52907	53255	52907	53255	1	52907,	53255,	n/a
585	YEL053C	chrV	-	53900	56102	53900	56102	1	53900,	56102,	Q02197
585	YEL052W	chrV	+	56570	58100	56570	58100	1	56570,	58100,	P32317
585	YEL051W	chrV	+	58377	59148	58377	59148	1	58377,	59148,	P32610
585	YEL050W-A	chrV	+	59548	59740	59548	59740	1	59548,	59740,	n/a
585	YEL050C	chrV	-	59669	60851	59669	60851	1	59669,	60851,	P32611
585	YEL049W	chrV	+	63727	64090	63727	64090	1	63727,	64090,	P32612
585	YEL048C	chrV	-	64708	65167	64708	65167	1	64708,	65167,	P32613
585	YEL047C	chrV	-	65384	66797	65384	66797	1	65384,	66797,	P32614
585	YEL046C	chrV	-	67628	68792	67628	68792	1	67628,	68792,	P37303
585	YEL045C	chrV	-	68839	69265	68839	69265	1	68839,	69265,	n/a
585	YEL044W	chrV	+	69756	70257	69756	70257	1	69756,	70257,	P32617
585	YEL043W	chrV	+	70477	73348	70477	73348	1	70477,	73348,	P32618
585	YEL042W	chrV	+	73770	75327	73770	75327	1	73770,	75327,	P32621
585	YEL041W	chrV	+	75943	77431	75943	77431	1	75943,	77431,	P32622
585	YEL040W	chrV	+	78052	79456	78052	79456	1	78052,	79456,	P32623
585	YEL039C	chrV	-	79635	79977	79635	79977	1	79635,	79977,	P00045
585	YEL038W	chrV	+	80461	81145	80461	81145	1	80461,	81145,	P32626
585	YEL037C	chrV	-	81406	82603	81406	82603	1	81406,	82603,	P32628
585	YEL036C	chrV	-	83049	84552	83049	84552	1	83049,	84552,	P32629
585	YEL035C	chrV	-	85044	85545	85044	85545	1	85044,	85545,	P32630
585	YEL034C-A	chrV	-	85612	86215	85612	86215	1	85612,	86215,	n/a
585	YEL034W	chrV	+	85675	86149	85675	86149	1	85675,	86149,	P23301
585	YEL033W	chrV	+	86178	86598	86178	86598	1	86178,	86598,	P32633
585	YEL032W	chrV	+	86936	89852	86936	89852	1	86936,	89852,	P24279
585	YEL032C-A	chrV	-	87039	87201	87039	87201	1	87039,	87201,	n/a
585	YEL031W	chrV	+	90257	93905	90257	93905	1	90257,	93905,	P39986
585	YEL030C-A	chrV	-	94582	94897	94582	94897	1	94582,	94897,	n/a
585	YEL030W	chrV	+	94643	96578	94643	96578	1	94643,	96578,	P39987
585	YEL029C	chrV	-	96857	97796	96857	97796	1	96857,	97796,	P39988
585	YEL028W	chrV	+	98667	99129	98667	99129	1	98667,	99129,	n/a
585	YEL027W	chrV	+	100768	101251	100768	101251	1	100768,	101251,	P25515
585	YEL026W	chrV	+	101942	102323	101942	102323	1	101942,	102323,	P39990
585	YEL025C	chrV	-	102580	106147	102580	106147	1	102580,	106147,	P39991
585	YEL024W	chrV	+	107259	107907	107259	107907	1	107259,	107907,	P08067
585	YEL023C	chrV	-	108503	110552	108503	110552	1	108503,	110552,	P39992
585	YEL022W	chrV	+	111420	115800	111420	115800	1	111420,	115800,	P39993
585	YEL021W	chrV	+	116166	116970	116166	116970	1	116166,	116970,	P03962
585	YEL020C-B	chrV	-	117182	117380	117182	117380	1	117182,	117380,	n/a
585	YEL020W-A	chrV	+	117210	117474	117210	117474	1	117210,	117474,	O74700
585	YEL020C	chrV	-	118616	120299	118616	120299	1	118616,	120299,	P39994
585	YEL019C	chrV	-	120497	121301	120497	121301	1	120497,	121301,	P38632
585	YEL018C-A	chrV	-	121454	121988	121454	121988	1	121454,	121988,	n/a
585	YEL018W	chrV	+	121470	122310	121470	122310	1	121470,	122310,	P39995
585	YEL017C-A	chrV	-	122797	122929	122797	122929	1	122797,	122929,	P40975
585	YEL017W	chrV	+	123656	124670	123656	124670	1	123656,	124670,	P39996
585	YEL016C	chrV	-	124736	126218	124736	126218	1	124736,	126218,	P39997
585	YEL015W	chrV	+	126628	128284	126628	128284	1	126628,	128284,	P39998
585	YEL014C	chrV	-	128302	128608	128302	128608	1	128302,	128608,	n/a
585	YEL013W	chrV	+	128824	130561	128824	130561	1	128824,	130561,	P39968
586	YEL012W	chrV	+	131771	132551	131771	132551	2	131771,131899,	131776,132551,	P28263
586	YEL011W	chrV	+	133119	135234	133119	135234	1	133119,	135234,	P32775
586	YEL010W	chrV	+	136278	136629	136278	136629	1	136278,	136629,	n/a
586	YEL009C-A	chrV	-	136370	136778	136370	136778	1	136370,	136778,	n/a
586	YEL009C	chrV	-	138917	139763	138917	139763	1	138917,	139763,	P03069
586	YEL008W	chrV	+	140511	140892	140511	140892	1	140511,	140892,	n/a
586	YEL008C-A	chrV	-	140725	140818	140725	140818	1	140725,	140818,	n/a
586	YEL007W	chrV	+	141891	143892	141891	143892	1	141891,	143892,	P40002
586	YEL006W	chrV	+	144326	145334	144326	145334	1	144326,	145334,	P39953
586	YEL005C	chrV	-	145906	146755	145906	146755	1	145906,	146755,	P40003
586	YEL004W	chrV	+	146950	147979	146950	147979	1	146950,	147979,	P40004
586	YEL003W	chrV	+	148175	148599	148175	148599	2	148175,148282,	148194,148599,	P40005
586	YEL002C	chrV	-	148721	150014	148721	150014	1	148721,	150014,	P33767
586	YEL001C	chrV	-	150300	150978	150300	150978	1	150300,	150978,	P40006
586	YER001W	chrV	+	153519	155808	153519	155808	1	153519,	155808,	P39106
586	YER002W	chrV	+	156802	157498	156802	157498	1	156802,	157498,	P40007
586	YER003C	chrV	-	157735	159118	157735	159118	2	157735,159087,	158994,159118,	P29952
586	YER004W	chrV	+	159579	160275	159579	160275	1	159579,	160275,	P40008
586	YER005W	chrV	+	160549	162442	160549	162442	1	160549,	162442,	P40009
586	YER006W	chrV	+	162722	164285	162722	164285	1	162722,	164285,	P40010
586	YER006C-A	chrV	-	164343	164661	164343	164661	1	164343,	164661,	n/a
586	YER007W	chrV	+	164526	166083	164526	166083	1	164526,	166083,	P39937
586	YER007C-A	chrV	-	166236	166885	166236	166885	2	166236,166874,	166771,166885,	P89886
586	YER008C	chrV	-	167807	171818	167807	171818	1	167807,	171818,	P33332
586	YER009W	chrV	+	172114	172492	172114	172492	1	172114,	172492,	P33331
586	YER010C	chrV	-	172633	173338	172633	173338	1	172633,	173338,	P40011
586	YER011W	chrV	+	175247	176012	175247	176012	1	175247,	176012,	P10863
586	YER012W	chrV	+	177834	178431	177834	178431	1	177834,	178431,	P22141
586	YER013W	chrV	+	178840	182278	178840	182278	1	178840,	182278,	P24384
586	YER014W	chrV	+	182599	184219	182599	184219	1	182599,	184219,	P40012
586	YER014C-A	chrV	-	183730	184700	183730	184700	2	183730,184677,	184169,184700,	P85052
586	YER015W	chrV	+	184540	186775	184540	186775	1	184540,	186775,	P39518
586	YER016W	chrV	+	188276	189311	188276	189311	1	188276,	189311,	P40013
586	YER017C	chrV	-	189502	191788	189502	191788	1	189502,	191788,	P39925
586	YER018C	chrV	-	191958	192624	191958	192624	1	191958,	192624,	P40014
586	YER019W	chrV	+	192796	194230	192796	194230	1	192796,	194230,	P40015
586	YER019C-A	chrV	-	194272	194539	194272	194539	1	194272,	194539,	P52871
586	YER020W	chrV	+	195167	196517	195167	196517	1	195167,	196517,	P10823
586	YER021W	chrV	+	196947	198519	196947	198519	1	196947,	198519,	P40016
586	YER022W	chrV	+	198811	200875	198811	200875	1	198811,	200875,	P32569
586	YER023W	chrV	+	201075	201936	201075	201936	1	201075,	201936,	P32263
586	YER023C-A	chrV	-	201521	201734	201521	201734	1	201521,	201734,	n/a
586	YER024W	chrV	+	202191	204963	202191	204963	1	202191,	204963,	P40017
586	YER025W	chrV	+	205250	206834	205250	206834	1	205250,	206834,	P32481
586	YER026C	chrV	-	207643	208474	207643	208474	1	207643,	208474,	P08456
586	YER027C	chrV	-	208978	210232	208978	210232	1	208978,	210232,	Q04739
586	YER028C	chrV	-	210691	211876	210691	211876	1	210691,	211876,	P39943
586	YER029C	chrV	-	212586	213177	212586	213177	1	212586,	213177,	P40018
586	YER030W	chrV	+	213436	213898	213436	213898	1	213436,	213898,	P40019
586	YER031C	chrV	-	214075	214747	214075	214747	1	214075,	214747,	P38555
586	YER032W	chrV	+	215062	217693	215062	217693	1	215062,	217693,	P40020
586	YER033C	chrV	-	218056	221287	218056	221287	1	218056,	221287,	P40021
586	YER034W	chrV	+	221845	222403	221845	222403	1	221845,	222403,	P40022
586	YER035W	chrV	+	222638	223076	222638	223076	1	222638,	223076,	P40023
586	YER036C	chrV	-	223366	225199	223366	225199	1	223366,	225199,	P40024
586	YER037W	chrV	+	225888	226854	225888	226854	1	225888,	226854,	P40025
586	YER038C	chrV	-	226857	228252	226857	228252	1	226857,	228252,	P40026
586	YER038W-A	chrV	+	228450	228831	228450	228831	1	228450,	228831,	n/a
586	YER039C	chrV	-	228455	229205	228455	229205	1	228455,	229205,	P0CE11
586	YER039C-A	chrV	-	229262	229481	229262	229481	1	229262,	229481,	P0CD97
586	YER040W	chrV	+	229794	231987	229794	231987	1	229794,	231987,	P18494
586	YER041W	chrV	+	232460	234740	232460	234740	1	232460,	234740,	P40028
586	YER042W	chrV	+	234936	235491	234936	235491	1	234936,	235491,	P40029
586	YER043C	chrV	-	235769	237119	235769	237119	1	235769,	237119,	P39954
586	YER044C	chrV	-	237569	238016	237569	238016	1	237569,	238016,	P40030
586	YER044C-A	chrV	-	238459	239774	238459	239774	2	238459,239711,	239623,239774,	P29467
586	YER045C	chrV	-	240031	241501	240031	241501	1	240031,	241501,	P39970
586	YER046W	chrV	+	243179	243611	243179	243611	1	243179,	243611,	P40031
586	YER046W-A	chrV	+	243699	244029	243699	244029	1	243699,	244029,	n/a
586	YER047C	chrV	-	243809	246503	243809	246503	1	243809,	246503,	P39955
586	YER048C	chrV	-	246981	248157	246981	248157	1	246981,	248157,	P39101
586	YER048W-A	chrV	+	250717	251002	250717	251002	1	250717,	251002,	Q6Q560
586	YER049W	chrV	+	251727	253662	251727	253662	1	251727,	253662,	P40032
586	YER050C	chrV	-	253970	254387	253970	254387	1	253970,	254387,	P40033
586	YER051W	chrV	+	254655	256134	254655	256134	1	254655,	256134,	P40034
586	YER052C	chrV	-	256374	257958	256374	257958	1	256374,	257958,	P10869
586	YER053C	chrV	-	258736	259639	258736	259639	1	258736,	259639,	P40035
586	YER053C-A	chrV	-	260932	261046	260932	261046	1	260932,	261046,	Q3E7B0
587	YER055C	chrV	-	264891	265785	264891	265785	1	264891,	265785,	P00498
587	YER056C	chrV	-	266511	268113	266511	268113	1	266511,	268113,	P17064
587	YER056C-A	chrV	-	269422	270185	269422	270185	2	269422,270148,	269751,270185,	P87262
587	YER057C	chrV	-	270736	271126	270736	271126	1	270736,	271126,	P40037
587	YER058W	chrV	+	271767	272091	271767	272091	1	271767,	272091,	Q02771
587	YER059W	chrV	+	272623	273886	272623	273886	1	272623,	273886,	P40038
587	YER060W	chrV	+	274566	276153	274566	276153	1	274566,	276153,	P40039
587	YER060W-A	chrV	+	276571	278164	276571	278164	1	276571,	278164,	Q12119
587	YER061C	chrV	-	278297	279626	278297	279626	1	278297,	279626,	P39525
587	YER062C	chrV	-	279929	280682	279929	280682	1	279929,	280682,	P40106
587	YER063W	chrV	+	281709	282366	281709	282366	1	281709,	282366,	P40040
587	YER064C	chrV	-	282704	284222	282704	284222	1	282704,	284222,	P40041
587	YER065C	chrV	-	285240	286914	285240	286914	1	285240,	286914,	P28240
587	YER066W	chrV	+	290241	290799	290241	290799	1	290241,	290799,	P40042
587	YER066C-A	chrV	-	291702	292203	291702	292203	1	291702,	292203,	n/a
587	YER067W	chrV	+	292065	292551	292065	292551	1	292065,	292551,	P40043
587	YER067C-A	chrV	-	292239	292563	292239	292563	1	292239,	292563,	n/a
587	YER068W	chrV	+	293049	294813	293049	294813	1	293049,	294813,	P34909
587	YER068C-A	chrV	-	295300	295732	295300	295732	1	295300,	295732,	n/a
587	YER069W	chrV	+	295409	298001	295409	298001	1	295409,	298001,	Q01217
587	YER070W	chrV	+	298949	301616	298949	301616	1	298949,	301616,	P21524
587	YER071C	chrV	-	301946	302327	301946	302327	1	301946,	302327,	P40045
587	YER072W	chrV	+	302805	303195	302805	303195	1	302805,	303195,	P40046
587	YER073W	chrV	+	304029	305592	304029	305592	1	304029,	305592,	P40047
587	YER074W	chrV	+	306322	307196	306322	307196	2	306322,306791,	306325,307196,	P26782
587	YER074W-A	chrV	+	307652	308123	307652	308123	3	307652,307848,308067,	307746,307956,308123,	Q3E834
587	YER075C	chrV	-	308412	311199	308412	311199	1	308412,	311199,	P40048
587	YER076C	chrV	-	312589	313498	312589	313498	1	312589,	313498,	P40049
587	YER076W-A	chrV	+	313389	313737	313389	313737	1	313389,	313737,	n/a
587	YER077C	chrV	-	314533	316600	314533	316600	1	314533,	316600,	P40050
587	YER078C	chrV	-	316806	318342	316806	318342	1	316806,	318342,	P40051
587	YER078W-A	chrV	+	318645	318810	318645	318810	1	318645,	318810,	Q3E7A2
587	YER079W	chrV	+	318919	319552	318919	319552	1	318919,	319552,	P40052
