bin name chrom strand txStart txEnd cdsStart cdsEnd exonCount exonStarts exonEnds proteinID
588 YJR027W chrX + 472759 478028 472759 478028 2 472759,474062, 474061,478028, P47098
588 YJR029W chrX + 478343 483612 478343 483612 2 478343,479645, 479644,483612, P47100
589 YJR079W chrX + 580204 581239 580204 581239 2 580204,581052, 580347,581239, P47126
589 YJR094W-A chrX + 608304 608858 608304 608858 2 608304,608581, 608306,608858, P49631
589 YJR112W-A chrX + 637789 638168 637789 638168 2 637789,637858, 637809,638168, Q3E743
590 YJR145C chrX - 702026 703068 702026 703068 2 702026,703054, 702798,703068, P05753
73 YBR012W-B chrII + 259868 265140 259868 265140 2 259868,261174, 261173,265140, Q12193
73 YBR078W chrII + 393122 394742 393122 394742 2 393122,393510, 393180,394742, P38248
585 YBL111C chrII - 2906 5009 2906 5009 2 2906,4215, 4116,5009, Q3E7Y5
585 YBL100W-B chrII + 29934 35248 29934 35248 2 29934,31228, 31227,35248, Q12491
585 YBL091C-A chrII - 46564 47180 46564 47180 2 46564,47146, 47058,47180, Q6Q595
585 YBL087C chrII - 59821 60739 59821 60739 2 59821,60697, 60193,60739, P04451
585 YBL059C-A chrII - 110124 110539 110124 110539 2 110124,110505, 110420,110539, Q3E7A4
585 YBL059W chrII + 110593 111244 110593 111244 2 110593,110948, 110879,111244, P34224
585 YBL050W chrII + 125124 126119 125124 126119 2 125124,125270, 125154,126119, P32602
586 YBL040C chrII - 142111 142868 142111 142868 2 142111,142846, 142749,142868, P18414
586 YBL027W chrII + 168422 169376 168422 169376 2 168422,168808, 168424,169376, P05735
586 YBL026W chrII + 170622 171038 170622 171038 2 170622,170804, 170676,171038, P38203
586 YBL018C chrII - 185997 186474 185997 186474 2 185997,186427, 186352,186474, P38208
586 YBL005W-B chrII + 221329 226598 221329 226598 2 221329,222635, 222634,226598, Q12490
587 YBR048W chrII + 332830 333812 332830 333812 2 332830,333386, 332875,333812, P26781
587 YBR062C chrII - 365975 366600 365975 366600 2 365975,366584, 366502,366600, P38239
588 YBR082C chrII - 406627 407169 406627 407169 2 406627,407122, 407027,407169, P15731
588 YBR084C-A chrII - 414185 415261 414185 415261 2 414185,415259, 414753,415261, P05735
588 YBR090C chrII - 426332 427058 426332 427058 2 426332,426873, 426516,427058, P38253
588 YBR111W-A chrII + 462138 462579 462138 462579 3 462138,462289,462499, 462209,462429,462579, Q6WNK7
588 YBR119W chrII + 479337 480323 479337 480323 2 479337,479434, 479345,480323, P32605
589 YBR181C chrII - 591711 592774 591711 592774 2 591711,592768, 592416,592774, P02365
589 YBR186W chrII + 600552 602360 600552 602360 2 600552,602216, 602103,602360, P38126
589 YBR189W chrII + 604507 605508 604507 605508 2 604507,604927, 604514,605508, P05755
589 YBR191W chrII + 606269 607140 606269 607140 2 606269,606668, 606280,607140, Q02753
589 YBR215W chrII + 653355 655317 653355 655317 2 653355,653452, 653368,655317, Q01448
590 YBR219C chrII - 662498 663303 662498 663303 2 662498,663002, 662581,663303, P38317
590 YBR230C chrII - 679548 680050 679548 680050 2 679548,680039, 679942,680050, P38325
590 YBR255C-A chrII - 726617 727074 726617 727074 2 726617,727011, 726917,727074, Q3E776
585 YDL219W chrIV + 65241 65765 65241 65765 2 65241,65377, 65306,65765, Q07648
585 YDL191W chrIV + 117663 118517 117663 118517 2 117663,118157, 117666,118517, P39741
586 YDL136W chrIV + 217599 218367 217599 218367 2 217599,218007, 217602,218367, P39741
586 YDL130W chrIV + 229905 230527 229905 230527 2 229905,230320, 230019,230527, P10622
586 YDL125C chrIV - 239018 239606 239018 239606 2 239018,239509, 239398,239606, Q04344
586 YDL115C chrIV - 253994 255126 253994 255126 2 253994,255044, 254974,255126, Q07532
587 YDL108W chrIV + 267697 268699 267697 268699 2 267697,267806, 267725,268699, P06242
587 YDL083C chrIV - 306925 307789 306925 307789 2 306925,307765, 307333,307789, P40213
587 YDL082W chrIV + 308423 309388 308423 309388 2 308423,308792, 308427,309388, Q12690
587 YDL079C chrIV - 312950 314748 312950 314748 2 312950,314336, 314044,314748, P50873
587 YDL075W chrIV + 322225 322988 322225 322988 2 322225,322703, 322282,322988, P0C2H8
587 YDL064W chrIV + 337486 338070 337486 338070 2 337486,337634, 337524,338070, P50623
588 YDL029W chrIV + 399339 400638 399339 400638 2 399339,399484, 399361,400638, P32381
588 YDL012C chrIV - 431107 431517 431107 431517 2 431107,431472, 431386,431517, Q12489
588 YDR005C chrIV - 456835 458103 456835 458103 2 456835,458097, 458017,458103, P41910
588 YDR025W chrIV + 491514 492324 491514 492324 2 491514,491898, 491559,492324, P26781
588 YDR034C-D chrIV - 514042 519356 514042 519356 2 514042,518063, 518062,519356, Q12472
589 YDR059C chrIV - 569233 569770 569233 569770 2 569233,569723, 569633,569770, P15732
589 YDR064W chrIV + 579457 580452 579457 580452 2 579457,580017, 579478,580452, P05756
589 YDR092W chrIV + 629875 630605 629875 630605 2 629875,630173, 629905,630605, P52490
589 YDR098C-B chrIV - 645857 651126 645857 651126 2 645857,649821, 649820,651126, Q03855
590 YDR129C chrIV - 713339 715379 713339 715379 2 713339,715358, 715247,715379, P32599
590 YDR139C chrIV - 733617 733924 733617 733924 2 733617,733775, 733702,733924, Q03919
591 YDR210W-B chrIV + 872111 877425 872111 877425 2 872111,873405, 873404,877425, Q03494
591 YDR210C-D chrIV - 878658 883927 878658 883927 2 878658,882622, 882621,883927, Q99231
592 YDR261W-B chrIV + 981461 986775 981461 986775 2 981461,982755, 982754,986775, Q07791
592 YDR261C-D chrIV - 987533 992349 987533 992349 2 987533,991044, 991043,992349, Q07793
593 YDR305C chrIV - 1072745 1073488 1072745 1073488 2 1072745,1073401, 1073312,1073488, P49775
593 YDR316W-B chrIV + 1096063 1101332 1096063 1101332 2 1096063,1097369, 1097368,1101332, P0C2I2
593 YDR318W chrIV + 1103757 1104947 1103757 1104947 2 1103757,1103892, 1103809,1104947, Q06675
594 YDR365W-B chrIV + 1206996 1212265 1206996 1212265 2 1206996,1208302, 1208301,1212265, P0C2I3
594 YDR367W chrIV + 1212847 1213614 1212847 1213614 2 1212847,1212978, 1212877,1213614, Q06346
594 YDR381W chrIV + 1236557 1238004 1236557 1238004 2 1236557,1237608, 1236842,1238004, Q12159
594 YDR381C-A chrIV - 1238311 1238850 1238311 1238850 2 1238311,1238824, 1238630,1238850, Q3E6R5
594 YDR397C chrIV - 1266365 1266898 1266365 1266898 2 1266365,1266861, 1266769,1266898, Q92317
595 YDR424C chrIV - 1319386 1319841 1319386 1319841 3 1319386,1319697,1319816, 1319617,1319720,1319841, Q02647
595 YDR447C chrIV - 1354828 1355553 1354828 1355553 2 1354828,1355550, 1355236,1355553, P14127
595 YDR450W chrIV + 1359922 1360798 1359922 1360798 2 1359922,1360404, 1359969,1360798, P35271
595 YDR471W chrIV + 1401769 1402564 1401769 1402564 2 1401769,1402184, 1401800,1402564, P0C2H7
596 YDR500C chrIV - 1450197 1450853 1450197 1450853 2 1450197,1450846, 1450457,1450853, P51402
596 YDR535C chrIV - 1506605 1507362 1506605 1507362 2 1506605,1507314, 1507058,1507362, n/a
585 YIL177C chrIX - 482 6147 482 6147 2 482,4986, 4598,6147, P40434
585 YIL156W-B chrIX + 47689 47973 47689 47973 2 47689,47760, 47698,47973, Q2V2P4
585 YIL148W chrIX + 68707 69528 68707 69528 2 68707,69149, 68715,69528, P0CH08
585 YIL133C chrIX - 98526 99416 98526 99416 2 98526,99385, 99095,99416, P26784
586 YIL111W chrIX + 155221 155765 155221 155765 2 155221,155310, 155222,155765, P00425
586 YIL106W chrIX + 166414 167444 166414 167444 2 166414,166519, 166434,167444, P40484
586 YIL082W-A chrIX + 205634 210132 205634 210132 2 205634,206486, 206485,210132, Q7LHG5
586 YIL073C chrIX - 222936 225954 222936 225954 2 222936,225899, 225809,225954, P40511
586 YIL069C chrIX - 231552 232369 231552 232369 2 231552,232366, 231957,232369, P26782
586 YIL052C chrIX - 256225 257063 256225 257063 2 256225,257026, 256554,257063, P40525
587 YIL018W chrIX + 316767 317932 316767 317932 2 316767,317171, 316771,317932, P05736
587 YIL009C-A chrIX - 335665 336212 335665 336212 2 335665,335936, 335935,336212, Q03096
587 YIL004C chrIX - 347945 348505 347945 348505 2 347945,348494, 348363,348505, P22804
585 YFL039C chrVI - 53259 54696 53259 54696 2 53259,54686, 54377,54696, P60010
585 YFL034C-B chrVI - 63015 63993 63015 63993 2 63015,63973, 63859,63993, P43563
585 YFL034C-A chrVI - 64242 64932 64242 64932 2 64242,64920, 64599,64932, P56628
585 YFL031W chrVI + 75178 76147 75178 76147 2 75178,76091, 75839,76147, P41546
586 YFL002W-A chrVI + 138203 143517 138203 143517 2 138203,139497, 139496,143517, Q12503
586 YFR024C-A chrVI - 201959 203433 201959 203433 2 201959,203386, 203292,203433, P43603
586 YFR031C-A chrVI - 220506 221418 220506 221418 2 220506,221414, 221267,221418, P05736
586 YFR045W chrVI + 241997 242999 241997 242999 2 241997,242081, 242009,242999, P43617
585 YKL190W chrXI + 82946 83550 82946 83550 2 82946,83074, 82998,83550, P25296
585 YKL180W chrXI + 109268 110129 109268 110129 2 109268,109883, 109577,110129, P05740
586 YKL157W chrXI + 154990 158232 154990 158232 2 154990,155654, 155271,158232, P32454
586 YKL156W chrXI + 158612 159212 158612 159212 2 158612,158966, 158615,159212, P35997
587 YKL081W chrXI + 282890 284455 282890 284455 2 282890,283421, 283095,284455, P36008
588 YKL006C-A chrXI - 430197 430632 430197 430632 2 430197,430596, 430455,430632, P43682
588 YKL006W chrXI + 431905 432720 431905 432720 2 431905,432432, 432034,432720, P36105
588 YKL002W chrXI + 437777 438544 437777 438544 2 437777,437905, 437837,438544, P36108
588 YKR004C chrXI - 446798 448036 446798 448036 2 446798,447810, 447706,448036, Q02202
588 YKR005C chrXI - 448520 450167 448520 450167 2 448520,450020, 449951,450167, Q02203
589 YKR057W chrXI + 551656 552242 551656 552242 2 551656,552002, 551680,552242, P0C0V8
589 YKR094C chrXI - 617995 618750 617995 618750 2 617995,618742, 618374,618750, P0CH08
589 YKR095W-A chrXI + 625863 626205 625863 626205 2 625863,625976, 625901,626205, Q3E833
73 YOR239W chrXV + 784856 786744 784856 786744 2 784856,785688, 785687,786744, Q08641
585 YOL127W chrXV + 80347 81190 80347 81190 2 80347,80774, 80360,81190, P04456
585 YOL121C chrXV - 92025 92850 92025 92850 2 92025,92830, 92440,92850, P07280
585 YOL120C chrXV - 93394 94402 93394 94402 2 93394,94290, 93843,94402, P07279
585 YOL103W-B chrXV + 117999 123268 117999 123268 2 117999,119305, 119304,123268, Q12273
586 YOL048C chrXV - 240203 241310 240203 241310 2 240203,241025, 240947,241310, Q08219
586 YOL047C chrXV - 241613 242747 241613 242747 2 241613,242504, 242441,242747, Q08218
588 YOR096W chrXV + 505793 506767 505793 506767 2 505793,506338, 505937,506767, P26786
589 YOR122C chrXV - 552297 552887 552297 552887 2 552297,552874, 552665,552887, P07274
589 YOR142W-B chrXV + 595111 600380 595111 600380 2 595111,596417, 596416,600380, Q92393
590 YOR182C chrXV - 678190 678793 678190 678793 2 678190,678790, 678379,678793, Q12087
590 YOR192C-B chrXV - 704418 709732 704418 709732 2 704418,708439, 708438,709732, Q12113
590 YOR234C chrXV - 778554 779405 778554 779405 2 778554,779386, 778859,779405, P41056
591 YOR293W chrXV + 867097 867852 867097 867852 2 867097,867586, 867149,867852, Q08745
591 YOR312C chrXV - 900249 901194 900249 901194 2 900249,901193, 900767,901194, P0C2I0
591 YOR318C chrXV - 911783 912436 911783 912436 2 911783,912432, 912085,912436, n/a
592 YOR343W-B chrXV + 970577 975891 970577 975891 2 970577,971872, 971871,975891, Q12501
585 YCL019W chrIII + 85101 90415 85101 90415 2 85101,86392, 86391,90415, P25384
585 YCL012C chrIII - 101316 101788 101316 101788 2 101316,101700, 101633,101788, Q8J0M4
585 YCL005W-A chrIII + 107022 107417 107022 107417 3 107022,107110,107287, 107033,107191,107417, Q3E7B6
585 YCL002C chrIII - 110807 111675 110807 111675 2 110807,111633, 111557,111675, P25565
586 YCR028C-A chrIII - 172949 173440 172949 173440 2 172949,173198, 173115,173440, P32445
586 YCR031C chrIII - 177499 178220 177499 178220 2 177499,178213, 177906,178220, P06367
587 YCR097W chrIII + 293834 294321 293834 294321 3 293834,293993,294291, 293939,294239,294321, P01366
585 YGL251C chrVII - 27920 31636 27920 31636 2 27920,31578, 31426,31636, P51979
585 YGL232W chrVII + 62074 63002 62074 63002 2 62074,62189, 62131,63002, P53072
585 YGL226C-A chrVII - 72748 73158 72748 73158 2 72748,73137, 72988,73158, Q92316
586 YGL183C chrVII - 156542 157285 156542 157285 2 156542,157282, 157199,157285, P53102
586 YGL178W chrVII + 167351 170571 167351 170571 2 167351,167994, 167354,170571, P39016
586 YGL137W chrVII + 249868 252738 249868 252738 2 249868,250086, 249886,252738, P41811
587 YGL103W chrVII + 310966 311927 310966 311927 2 310966,311526, 311015,311927, P02406
587 YGL087C chrVII - 346405 346904 346405 346904 2 346405,346893, 346808,346904, P53152
587 YGL076C chrVII - 364334 365996 364334 365996 3 364334,365432,365985, 364964,365526,365996, P05737
588 YGL033W chrVII + 435624 436351 435624 436351 2 435624,435749, 435679,436351, P53187
588 YGL030W chrVII + 439090 439638 439090 439638 2 439090,439323, 439093,439638, P14120
588 YGR001C chrVII - 497132 498034 497132 498034 3 497132,497458,497999, 497365,497937,498034, P53200
589 YGR027W-B chrVII + 536056 541325 536056 541325 2 536056,537362, 537361,541325, Q12141
589 YGR029W chrVII + 543552 544205 543552 544205 2 543552,543721, 543638,544205, P27882
589 YGR034W chrVII + 555811 556672 555811 556672 2 555811,556307, 555830,556672, P53221
589 YGR038C-B chrVII - 562198 567467 562198 567467 2 562198,566162, 566161,567467, Q12269
590 YGR109W-B chrVII + 707609 712254 707609 712254 2 707609,708460, 708459,712254, Q99315
590 YGR118W chrVII + 726973 727730 726973 727730 2 726973,727357, 727038,727730, P32827
591 YGR161W-B chrVII + 811737 817051 811737 817051 2 811737,813031, 813030,817051, Q12503
591 YGR161C-D chrVII - 817746 823015 817746 823015 2 817746,821710, 821709,823015, Q12316
591 YGR183C chrVII - 859062 859476 859062 859476 2 859062,859473, 859260,859476, P22289
592 YGR214W chrVII + 920574 921788 920574 921788 2 920574,921119, 920664,921788, P32905
592 YGR225W chrVII + 945144 947019 945144 947019 2 945144,946420, 946327,947019, P50082
593 YGR296W chrVII + 1084863 1090591 1084863 1090591 2 1084863,1085030, 1084882,1090591, P53345
585 YLL067C chrXII - 584 4301 584 4301 2 584,4014, 3915,4301, Q07888
585 YLL066C chrXII - 6119 9836 6119 9836 2 6119,9549, 9450,9836, Q99208
585 YLL050C chrXII - 39803 40414 39803 40414 2 39803,40400, 40221,40414, Q03048
586 YLR048W chrXII + 242231 243349 242231 243349 2 242231,242680, 242321,243349, P46654
586 YLR054C chrXII - 248716 250978 248716 250978 2 248716,250947, 250860,250978, Q12202
587 YLR061W chrXII + 263193 263948 263193 263948 2 263193,263594, 263205,263948, P05749
587 YLR078C chrXII - 285735 286559 285735 286559 2 285735,286556, 286467,286559, P25385
587 YLR093C chrXII - 326512 327415 326512 327415 2 326512,327399, 327258,327415, Q12255
588 YLR128W chrXII + 398529 399433 398529 399433 2 398529,398626, 398532,399433, Q12395
588 YLR157C-B chrXII - 476332 481601 476332 481601 2 476332,480296, 480295,481601, P0C2I5
588 YLR185W chrXII + 522662 523288 522662 523288 2 522662,523028, 522669,523288, P49166
589 YLR199C chrXII - 547852 548769 547852 548769 2 547852,548763, 548677,548769, Q05778
589 YLR202C chrXII - 550193 550636 550193 550636 2 550193,550574, 550458,550636, n/a
589 YLR211C chrXII - 563791 564531 563791 564531 2 563791,564513, 564454,564531, Q05789
589 YLR227W-B chrXII + 593437 598706 593437 598706 2 593437,594743, 594742,598706, P0C2I6
590 YLR275W chrXII + 694377 694800 694377 694800 2 694377,694472, 694382,694800, Q06217
590 YLR287C-A chrXII - 712536 713158 712536 713158 2 712536,713155, 712725,713158, Q12087
590 YLR306W chrXII + 744150 744851 744150 744851 2 744150,744287, 744153,744851, P52491
590 YLR316C chrXII - 765265 766358 765265 766358 3 765265,766129,766249, 766073,766181,766358, Q9URQ3
591 YLR329W chrXII + 786441 787333 786441 787333 2 786441,786712, 786615,787333, Q02721
591 YLR344W chrXII + 819311 820142 819311 820142 2 819311,819777, 819330,820142, P05743
591 YLR367W chrXII + 856441 857317 856441 857317 2 856441,857057, 856574,857317, Q3E7Y3
592 YLR406C chrXII - 931064 931755 931064 931755 2 931064,931698, 931349,931755, P0C2H9
592 YLR410W-B chrXII + 941482 946796 941482 946796 2 941482,942776, 942775,946796, P0C2J3
592 YLR426W chrXII + 987061 988113 987061 988113 2 987061,987212, 987141,988113, Q06417
592 YLR445W chrXII + 1024188 1024837 1024188 1024837 2 1024188,1024654, 1024572,1024837, Q06201
592 YLR448W chrXII + 1028853 1029768 1028853 1029768 2 1028853,1029252, 1028868,1029768, P05739
593 YLR464W chrXII + 1066571 1067501 1066571 1067501 2 1066571,1067363, 1067084,1067501, P89887
585 YNL339C chrXIV - 370 6098 370 6098 2 370,6079, 5931,6098, P53819
585 YNL312W chrXIV + 48286 49216 48286 49216 2 48286,48401, 48293,49216, P26754
585 YNL302C chrXIV - 61957 62943 61957 62943 2 61957,62923, 62372,62943, P07281
585 YNL301C chrXIV - 63569 64562 63569 64562 2 63569,64450, 64018,64562, P07279
585 YNL284C-B chrXIV - 96963 102232 96963 102232 2 96963,100927, 100926,102232, Q12112
586 YNL265C chrXIV - 144279 145281 144279 145281 2 144279,145254, 145149,145281, P53843
586 YNL246W chrXIV + 185459 186349 185459 186349 2 185459,185586, 185491,186349, P53853
587 YNL162W chrXIV + 331321 332154 331321 332154 2 331321,331837, 331325,332154, P02405
587 YNL147W chrXIV + 350939 351383 350939 351383 2 350939,351053, 350957,351383, P53905
587 YNL138W-A chrXIV + 366032 366412 366032 366412 2 366032,366157, 366035,366412, P0C074
587 YNL130C chrXIV - 379557 380831 379557 380831 2 379557,380781, 380689,380831, P17898
588 YNL112W chrXIV + 413638 416281 413638 416281 2 413638,415913, 414911,416281, P24783
588 YNL096C chrXIV - 443397 444315 443397 444315 2 443397,444171, 443826,444315, P48164
588 YNL069C chrXIV - 493955 495001 493955 495001 2 493955,494973, 494524,495001, P26785
589 YNL050C chrXIV - 534078 534982 534078 534982 2 534078,534965, 534874,534982, P53952
589 YNL044W chrXIV + 545267 545877 545267 545877 2 545267,545370, 545291,545877, P53633
589 YNL038W chrXIV + 557019 557783 557019 557783 2 557019,557684, 557610,557783, P53961
589 YNL012W chrXIV + 609685 611665 609685 611665 2 609685,609874, 609790,611665, P53541
589 YNL004W chrXIV + 622914 624621 622914 624621 2 622914,623286, 622944,624621, P38922
590 YNR053C chrXIV - 721119 723112 721119 723112 2 721119,722302, 721770,723112, P53742
585 YPL283C chrXVI - 279 6007 279 6007 2 279,5988, 5840,6007, P53345
585 YPL257W-B chrXVI + 56747 62016 56747 62016 2 56747,58053, 58052,62016, Q12414
585 YPL249C-A chrXVI - 75698 76239 75698 76239 2 75698,76223, 75985,76239, O14455
585 YPL241C chrXVI - 95371 96258 95371 96258 2 95371,96233, 96153,96258, P46670
586 YPL218W chrXVI + 138697 139409 138697 139409 2 138697,138864, 138725,139409, P20606
586 YPL198W chrXVI + 173151 174702 173151 174702 3 173151,173571,174072, 173162,173665,174702, Q12213
586 YPL175W chrXVI + 218629 220088 218629 220088 2 218629,218746, 218646,220088, P32363
587 YPL143W chrXVI + 282121 282970 282121 282970 2 282121,282665, 282140,282970, P05744
587 YPL129W chrXVI + 305297 306137 305297 306137 2 305297,305411, 305306,306137, P35189
587 YPL109C chrXVI - 345263 347389 345263 347389 2 345263,345596, 345444,347389, Q02981
587 YPL090C chrXVI - 377290 378395 377290 378395 2 377290,378389, 377995,378395, P02365
588 YPL081W chrXVI + 404949 406044 404949 406044 2 404949,405457, 404956,406044, O13516
588 YPL079W chrXVI + 406635 407539 406635 407539 2 406635,407067, 406646,407539, Q12672
588 YPL075W chrXVI + 412253 415362 412253 415362 2 412253,413012, 412261,415362, P07261
588 YPL052W chrXVI + 458798 459678 458798 459678 2 458798,459006, 459005,459678, Q02803
588 YPL031C chrXVI - 492017 493037 492017 493037 2 492017,493020, 492918,493037, P17157
589 YPR010C-A chrXVI - 582372 582734 582372 582734 2 582372,582701, 582558,582734, A5Z2X5
589 YPR028W chrXVI + 623526 624202 623526 624202 2 623526,623710, 623577,624202, Q12402
589 YPR043W chrXVI + 654165 654847 654165 654847 2 654165,654570, 654167,654847, P49631
590 YPR063C chrXVI - 677811 678320 677811 678320 2 677811,678279, 678193,678320, Q12160
590 YPR098C chrXVI - 728946 729528 728946 729528 2 728946,729481, 729385,729528, Q06089
591 YPR132W chrXVI + 794964 795767 794964 795767 2 794964,795394, 795029,795767, P32827
591 YPR137C-B chrXVI - 805000 810269 805000 810269 2 805000,808964, 808963,810269, P0C2I9
591 YPR153W chrXVI + 833688 834245 833688 834245 2 833688,833827, 833693,834245, Q06537
591 YPR158W-B chrXVI + 844708 849980 844708 849980 2 844708,846014, 846013,849980, P0C2J0
591 YPR158C-D chrXVI - 850988 856257 850988 856257 2 850988,854952, 854951,856257, P0C2J1
591 YPR170W-B chrXVI + 883238 883595 883238 883595 2 883238,883486, 883387,883595, P0C5R9
591 YPR187W chrXVI + 911256 911800 911256 911800 2 911256,911352, 911276,911800, P20435
592 YPR202W chrXVI + 943031 943896 943031 943896 2 943031,943198, 943050,943896, Q08993
585 YHL050C chrVIII - 444 3311 444 3311 2 444,2670, 1897,3311, P38721
585 YHL009W-B chrVIII + 85908 91318 85908 91318 2 85908,86995, 86994,91318, P0C2J7
585 YHL001W chrVIII + 104276 105091 104276 105091 2 104276,104803, 104405,105091, P38754
585 YHR001W-A chrVIII + 107825 108122 107825 108122 2 107825,107894, 107831,108122, P37299
585 YHR010W chrVIII + 126520 127492 126520 127492 2 126520,127112, 126551,127492, P0C2H6
585 YHR012W chrVIII + 129480 130448 129480 130448 2 129480,129647, 129528,130448, P38759
586 YHR016C chrVIII - 136880 138455 136880 138455 2 136880,138408, 138240,138455, P32793
586 YHR021C chrVIII - 147870 148669 147870 148669 2 147870,148666, 148116,148669, P38711
586 YHR039C-A chrVIII - 187172 187679 187172 187679 2 187172,187676, 187514,187679, P48836
586 YHR041C chrVIII - 189130 189864 189130 189864 2 189130,189850, 189749,189864, P34162
586 YHR076W chrVIII + 251100 252225 251100 252225 2 251100,251248, 251155,252225, P38797
586 YHR077C chrVIII - 252373 255756 252373 255756 2 252373,255750, 255637,255756, P38798
587 YHR079C-A chrVIII - 262191 262553 262191 262553 2 262191,262440, 262354,262553, P89114
587 YHR097C chrVIII - 297384 298609 297384 298609 2 297384,298484, 298360,298609, P38809
587 YHR101C chrVIII - 314873 315968 314873 315968 2 314873,315858, 315771,315968, P38813
587 YHR123W chrVIII + 354814 356081 354814 356081 2 354814,354955, 354864,356081, P22140
587 YHR141C chrVIII - 381989 382751 381989 382751 2 381989,382747, 382306,382751, P02405
588 YHR199C-A chrVIII - 498570 498859 498570 498859 2 498570,498786, 498719,498859, Q3E7Y6
588 YHR203C chrVIII - 504475 505530 504475 505530 2 504475,505516, 505247,505530, P05753
589 YHR214C-B chrVIII - 543963 549346 543963 549346 2 543963,547930, 547929,549346, O13535
589 YHR218W chrVIII + 558013 559924 558013 559924 2 558013,558714, 558615,559924, P38899
585 YML133C chrXIII - 460 4684 460 4684 2 460,3890, 3791,4684, Q03099
585 YML124C chrXIII - 22047 23683 22047 23683 2 22047,23658, 23360,23683, P09734
585 YML094W chrXIII + 82274 82849 82274 82849 2 82274,82373, 82290,82849, Q04493
585 YML085C chrXIII - 97940 99400 97940 99400 2 97940,99375, 99259,99400, P09733
